recipient,amount
5XKJwdKB2Hs7pkEXzifAysjSk6q7Rt6k5KfHwmAMPtoQ,178343948659245
4t2m68yq7z4WycsdEsNt862rvSPDn4SGmc3H5eJXCrYF,58748795368233
4RLcStbSkt5S1Xm4mStup6N13PGyAfAWy7Vs5d7yJRnY,58804569831890
9ixkRQFUmQfDfJ9sBzJMs8QeBpqz4AeR94n623eaYK2S,58570879821335
4guS5XP2wgDWecZGgvN5UQmV8iywTrKGaA7kv9hj3tk7,42551691428014
2GBLVthcSdvbG4aafTBjmXm4tDYXW5q33gHDuPCWoVHy,35719023980809
H85v6HMycCKjwpQhe9zLtBDdw1yYrf7uUmXF4NcxCiJv,60195606219613
5SYEuuFteaNFZWiCDXChP28iwDR434kdVctKtwdQt4Yk,97717120
Dd5qDtbFyFAT1EsdJ9QpPn9epsn3wziSZtE84Z3UAWmn,34351864728164
Fudp7uPDYNYQRxoq1Q4JiwJnzyxhVz37bGqRki3PBzS,63679052540742
6wARr6hLphghdkFJJZj7MNKGtcJaF4bV8WEB2qToccYg,10591416729160
9eo8zbCzPB98r8oJ2rTmXDjVqSUXUY1mCbv8qGHHwHDy,10147680112441
CbVp3Sb3iKYGS8iQT3pQskAo2bqAQRuFBdeFCTfCAN4Y,257617276533693
AtcXisDWd3TWvgV74UzEM55xgMGHTrmYx8FVZz343EoH,35023308011133
BSVckjdW2f8kcXPGcrPPtV9kUDBZ8w8PjrrGVnxgEdwq,2502391136720913
Hc2RgFmmGhUAbDPorKXSzo8fYRj16jgF5fVYfad26HZn,9713296867097
BhwrctpZCQqwZHFHhgsnZkZG3btSwAg5aBtDPVDzQriG,64584717416099
6j4ruT65Jk282NwLQbZbcwT4cQtrn2mSgqD5DDXtuVCM,250546319988386
6xryev46buDGaqHWkJKuRGfpFxXmKip14fVy37Qn6Dz8,42541453454720
DohaxzeUj6ma9shCykxGxi7FbWnMyW9hzNjwQjZHEDV7,62281000649917
3m5QHq24vbPVhtbcHbaDjvij58WExvfy16UgcCPLfDXP,66610286633291
6mVq2JEjnX2yViuLzYUpXAx5dYxWgEzqw3mhvqQTTDY8,17998717120
HtS4FNNrMZPctzDisoL6SpcBnMmELLwtmrZ4z261Fhvo,9127685891241
indMGAW9rPd6d4Pe8YoN2gYRhUpLmEDdSGeQVo6kJ46,41963026378776
FU8F2V8yCFhseHDc1CJ5Sj1e5AbGNh3MnSe4REYX7a3P,43643549635128
Goo7uPA1ASVX2Ws4JW1eAjQxBcTtjMdpAHBtPBzi8yN6,41655053657157
6122X5K3mo8QMwXZW6wnP2n1j2wQoa1Ks21Ckwj7L6st,59249300954977
E4r87mnk6kkSaeNpHw2R4fSnzUR2ksajjZJDV5kpUpH2,284687531019290
GGRsVQ5fm7GdawVZmBT2tY9Vsg7mw3YKDwFbofqfSmw7,181263016397743
FgF45YaaF57X8MbcQz2zubreiN2ffovUmKFkdc4b8eKS,57847504560425
EEN4pf92jyVoASZ6pQQMHcKXTF4d5T3cY1a942QhRasc,59477538049551
Bi8MhxRtneEwv4c8W2v8JE3zn3QdtMeUCUuiuLAk5Ht7,9011104629074
Cn6VUkPFnFjJTg7bWdX72mvX6W2rqg15sNSvRugVNmFd,36601337205472
HCbyyxXV9gTmVmCmqqgWt2YgNSogFU4mtVLWNbfnjp32,59862789761609
2Eq6YD8P8QXTeoz9h6JHjgZ55t8RSxNdx4waMDCoPmQU,45282481689366
EswEfeDSWWLebKbExtab1tCa7Vh254imTcGGYJVxPdrA,10655236345849
pgixuWVfFotnasNyvc3CkRa9nzQRXFpWTwoc6Rb22kb,228529474442048
HgozywotiKv4F5g3jCgideF3gh9sdD3vz4QtgXKjWCtB,34551788140012
A27mmHqiVZRh5R4jNJksfnHj1RoJTNMFiKhbMSBTu5Ja,61117439500591
5QzcmgZVza2ZRVEh9w6GkMKHVzDq337DcQNtz1iXMv4w,60564704508903
CwAU4WGyvu79nTk95JTZ7G27C8HNsE8DbCxMHPPXqREk,8338760114843
2VpzB3eUagT9pGGzv7PuieRmTDugdYRiM8ArrDWB6jex,38786054896846
1EWZm7aZYxfZHbyiELXtTgN1yT2vU1HF9d8DWswX2Tp,18743957708231
9oGWd4zHcRjrXpoPccu9UsnUEEva9bkcT8qZuH4ZKVAc,39493717317866
